backward_only,backward_only_adaptive,backward_only_muthu,sigmod21,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.002426,0.002277,0.011385,0.002735,0.002814,0.005033,0.003448,0.004873
0.001524,0.001674,0.000508,0.000181,0.000609,0.000432,0.000179,0.00033
0.001986,0.002205,0.00048,0.000373,0.000886,0.000916,0.002006,0.000481
0.006519,0.007111,0.001343,0.003202,0.00299,0.003642,0.002455,0.001467
0.004408,0.007355,0.001343,0.001748,0.003597,0.002768,0.002447,0.001307
0.004313,0.008638,0.001042,0.002459,0.001688,0.001626,0.002547,0.001247
0.002897,0.005339,0.000767,0.000754,0.000954,0.00082,0.001368,0.000859
0.003396,0.004621,0.000819,0.001385,0.00215,0.003034,0.002556,0.000912
0.002587,0.002607,0.000674,0.001373,0.002958,0.001484,0.002366,0.000768
0.001086,0.00117,0.000322,0.000405,0.000669,0.000645,0.001318,0.00031
0.021151,0.02521,0.00598,0.008363,0.007346,0.007995,0.031497,0.006866
0.008019,0.00475,0.002992,0.002543,0.001991,0.001875,0.003563,0.001985
0.004308,0.005457,0.000905,0.001914,0.001235,0.001027,0.002763,0.001347
0.019494,0.033902,0.005502,0.007986,0.005978,0.0071,0.009529,0.00703
0.000539,0.000536,0.000356,0.000263,0.000436,0.000345,0.000829,0.000291
0.003309,0.003886,0.002415,0.001807,0.002348,0.002044,0.004635,0.002407
0.003983,0.004286,0.003682,0.003465,0.004296,0.003451,0.0039,0.003759
0.000398,0.000396,0.000461,0.000332,0.001022,0.000944,0.000654,0.000367
0.004012,0.004303,0.002536,0.005745,0.004714,0.004742,0.005379,0.002076
0.000954,0.001324,0.002361,0.001652,0.001435,0.002875,0.002765,0.000696
0.001813,0.001431,0.002918,0.002888,0.003676,0.00356,0.00323,0.003432
0.021269,0.029227,0.039116,0.031234,0.030633,0.024444,0.020837,0.019078
0.00028,0.000339,0.000287,0.000266,0.000347,0.000304,0.000376,0.00025
0.000676,0.000516,0.000624,0.000306,0.000514,0.000376,0.000795,0.000308
0.000672,0.000943,0.000942,0.000447,0.0008,0.001156,0.000801,0.00067
0.024439,0.043482,0.025349,0.023303,0.025421,0.02463,0.027203,0.025546
0.001525,0.001868,0.00147,0.002091,0.003131,0.002423,0.003154,0.002053
0.003426,0.007515,0.006212,0.004087,0.003184,0.004272,0.009711,0.011422
0.005611,0.005568,0.003139,0.004027,0.002999,0.003022,0.004479,0.003611
0.008765,0.007259,0.003204,0.002678,0.002559,0.003121,0.002993,0.001808
0.007545,0.003882,0.002713,0.003694,0.002903,0.002476,0.003515,0.00316
0.00576,0.003302,0.003265,0.002909,0.003131,0.003212,0.003215,0.00257
0.005708,0.005634,0.004836,0.004291,0.00408,0.003512,0.005514,0.003262
0.013313,0.011855,0.012665,0.013881,0.013973,0.012924,0.015417,0.007358
0.009621,0.008758,0.005139,0.005981,0.004774,0.004693,0.009662,0.005223
0.000944,0.000668,0.000625,0.00149,0.001541,0.002067,0.001585,0.000632
0.000362,0.00033,0.000336,0.000633,0.000392,0.000344,0.000566,0.000257
0.007849,0.00701,0.006233,0.006952,0.006991,0.006837,0.008412,0.005856
0.009991,0.010177,0.008625,0.011752,0.011514,0.010918,0.012465,0.009523
0.000212,0.000193,0.000352,0.000255,0.000396,0.000192,0.000335,0.000167
0.006218,0.00612,0.005153,0.00676,0.006265,0.006385,0.006869,0.004968
0.000504,0.000494,0.000589,0.000327,0.000461,0.000353,0.000724,0.000329
0.000496,0.000514,0.000415,0.000363,0.000402,0.000455,0.000371,0.000318
0.000245,0.000325,0.000886,0.000285,0.000468,0.000452,0.000527,0.000316
0.003049,0.00321,0.006535,0.002371,0.002773,0.003213,0.002551,0.003502
0.00806,0.018948,0.009513,0.009956,0.009084,0.009331,0.011488,0.00644
0.000886,0.000456,0.000493,0.000218,0.000335,0.000467,0.000401,0.000317
0.018519,0.027149,0.01778,0.017194,0.016893,0.019309,0.019474,0.014385
0.013699,0.019166,0.013182,0.015133,0.01509,0.016614,0.015226,0.013038
0.000547,0.000428,0.000396,0.000312,0.000516,0.000728,0.000394,0.000317
