backward_only,backward_only_adaptive,backward_only_muthu,sigmod21,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
3007000.0,7346000.0,4293000.0,8428000.0,16389000.0,12964000.0,9175000.0,4320000.0
383000.0,736000.0,737000.0,305000.0,4588000.0,1745000.0,360000.0,2673000.0
391000.0,3462000.0,1217000.0,390000.0,6264000.0,1696000.0,419000.0,1031000.0
774000.0,1812000.0,1353000.0,1740000.0,7080000.0,4146000.0,2047000.0,1211000.0
291000.0,419000.0,582000.0,328000.0,3368000.0,1446000.0,372000.0,922000.0
601000.0,958000.0,971000.0,1234000.0,4727000.0,1835000.0,2755000.0,2051000.0
476000.0,657000.0,2486000.0,1652000.0,6347000.0,2593000.0,5389000.0,653000.0
1948000.0,2414000.0,3139000.0,2634000.0,3315000.0,2570000.0,3980000.0,1705000.0
1591000.0,1911000.0,3318000.0,3656000.0,7716000.0,4694000.0,5530000.0,1412000.0
2599000.0,1702000.0,2393000.0,5327000.0,8253000.0,4949000.0,5148000.0,1675000.0
3933000.0,2513000.0,2238000.0,3848000.0,2653000.0,1718000.0,3486000.0,1087000.0
3147000.0,6079000.0,1788000.0,8584000.0,6602000.0,3374000.0,3963000.0,2079000.0
1834000.0,4383000.0,1634000.0,5100000.0,6356000.0,3228000.0,3801000.0,1521000.0
1126000.0,743000.0,476000.0,829000.0,2615000.0,425000.0,587000.0,396000.0
2187000.0,2253000.0,1530000.0,3835000.0,5194000.0,3375000.0,3162000.0,1613000.0
1769000.0,892000.0,803000.0,1455000.0,4179000.0,1251000.0,1290000.0,869000.0
328000.0,351000.0,322000.0,895000.0,1510000.0,511000.0,751000.0,279000.0
1725000.0,4485000.0,1749000.0,5847000.0,7208000.0,5187000.0,5080000.0,1748000.0
632000.0,1081000.0,520000.0,1524000.0,2521000.0,980000.0,2997000.0,1634000.0
281000.0,409000.0,355000.0,400000.0,2043000.0,500000.0,600000.0,529000.0
3077000.0,5504000.0,3051000.0,4005000.0,4528000.0,4158000.0,4888000.0,4806000.0
320000.0,460000.0,311000.0,694000.0,2587000.0,1737000.0,835000.0,791000.0
3769000.0,4031000.0,3784000.0,9585000.0,10611000.0,8326000.0,7024000.0,4306000.0
1067000.0,1486000.0,1132000.0,1446000.0,1596000.0,1200000.0,1311000.0,710000.0
1205000.0,934000.0,574000.0,1102000.0,3180000.0,1308000.0,1243000.0,864000.0
3115000.0,2500000.0,2176000.0,4450000.0,6475000.0,4612000.0,5610000.0,2240000.0
1595000.0,5162000.0,1769000.0,3765000.0,4847000.0,3668000.0,3964000.0,1660000.0
514000.0,1019000.0,1892000.0,1048000.0,3158000.0,2468000.0,1581000.0,552000.0
1142000.0,2162000.0,2233000.0,3218000.0,8115000.0,3558000.0,3782000.0,1605000.0
340000.0,736000.0,665000.0,414000.0,1475000.0,656000.0,527000.0,423000.0
812000.0,848000.0,1393000.0,876000.0,3418000.0,1396000.0,2045000.0,661000.0
10148000.0,16467000.0,12620000.0,12955000.0,21055000.0,15844000.0,15470000.0,9719000.0
2063000.0,3962000.0,3105000.0,6916000.0,9002000.0,7859000.0,6345000.0,2470000.0
498000.0,665000.0,824000.0,1089000.0,2223000.0,1353000.0,1261000.0,642000.0
246000.0,497000.0,626000.0,528000.0,1492000.0,987000.0,849000.0,436000.0
598000.0,3912000.0,1863000.0,1513000.0,4379000.0,1875000.0,1612000.0,883000.0
2686000.0,2215000.0,2132000.0,2127000.0,3148000.0,2878000.0,2965000.0,1841000.0
510000.0,743000.0,798000.0,1308000.0,3640000.0,2282000.0,2263000.0,669000.0
228000.0,397000.0,403000.0,1043000.0,1940000.0,1116000.0,1023000.0,298000.0
2033000.0,2368000.0,1670000.0,2802000.0,6186000.0,5100000.0,4086000.0,1415000.0
1051000.0,2411000.0,1276000.0,2246000.0,4221000.0,2926000.0,3493000.0,1123000.0
2194000.0,5396000.0,2622000.0,2459000.0,4701000.0,4092000.0,3177000.0,2415000.0
229000.0,448000.0,220000.0,389000.0,670000.0,525000.0,654000.0,161000.0
2734000.0,6582000.0,3237000.0,8917000.0,11149000.0,10373000.0,12814000.0,2760000.0
2238000.0,2430000.0,2028000.0,6137000.0,6558000.0,7086000.0,8250000.0,1758000.0
550000.0,1006000.0,529000.0,638000.0,1891000.0,911000.0,1115000.0,581000.0
1881000.0,1894000.0,1365000.0,4699000.0,6755000.0,4650000.0,6994000.0,1270000.0
220000.0,354000.0,469000.0,258000.0,1097000.0,478000.0,430000.0,439000.0
723000.0,1196000.0,705000.0,1860000.0,1103000.0,854000.0,1409000.0,931000.0
1667000.0,338000.0,711000.0,173000.0,1384000.0,685000.0,466000.0,578000.0
