backward_only,backward_only_adaptive,backward_only_muthu,sigmod21,one_ring_muthu_leap,one_ring_muthu_leap_adaptive,sigmod21_adaptive,backward_only_adaptive_muthu
0.008065,0.008252,0.011861,0.009668,0.003593,0.00333,0.010045,0.010036
0.003776,0.002743,0.040313,0.004034,0.031554,0.027164,0.003626,0.560294
0.0109,0.009807,0.034446,0.023847,0.027352,0.027904,0.019968,0.028181
0.023617,0.024755,0.029055,0.108979,0.019405,0.020959,0.038066,2.377948
0.005196,0.005415,0.009885,0.019925,0.008287,0.010777,0.006426,0.121105
0.019335,0.032127,0.000801,0.052426,0.001036,0.000428,0.01735,0.000766
0.158477,0.124571,0.00539,0.192843,0.003635,0.003415,0.026028,0.007936
0.017173,0.012989,0.010578,0.021422,0.010853,0.007959,0.02438,0.010727
0.001245,0.001277,0.017899,0.005915,0.003186,0.00283,0.002592,0.002539
0.012169,0.007702,0.007087,0.015697,0.006665,0.005939,0.007859,0.009697
0.401176,0.311253,0.003067,0.266541,0.003504,0.002138,0.284727,0.002914
0.018176,0.009854,0.037804,0.014117,0.029008,0.017271,0.01641,0.020359
0.005065,0.003751,0.023862,0.0059,0.024039,0.007601,0.004933,0.018888
0.007538,0.00682,0.003562,0.013813,0.002006,0.002064,0.012126,0.003482
0.000921,0.000524,0.016798,0.002322,0.021537,0.027507,0.001449,0.018273
0.001351,0.000989,0.011912,0.002366,0.01267,0.018212,0.00202,0.115423
0.04685,0.042781,0.002569,0.073072,0.004791,0.005285,0.058149,0.003785
0.073107,0.074486,0.182534,0.076,0.188037,0.154687,0.190004,0.185097
0.003077,0.011663,0.021552,0.005239,0.016562,0.020788,0.004203,0.022257
0.008396,0.013208,0.084753,0.010254,0.140374,0.00699,0.007104,0.097442
0.002225,0.00389,0.01067,0.002292,0.014563,0.021977,0.001646,0.011945
0.103641,0.086996,0.096206,0.103265,0.113786,0.076739,0.072687,0.089607
0.005008,0.004425,0.003244,0.005843,0.004028,0.001977,0.006161,0.001647
0.029544,0.026368,0.004249,0.030332,0.004867,0.007313,0.046477,0.003842
0.045528,0.023807,0.002105,0.037759,0.003969,0.009776,0.031587,0.002092
0.00082,0.000756,0.00076,0.001293,0.000656,0.001097,0.002005,0.002471
0.08058,0.068498,0.002505,0.110411,0.004058,0.003417,0.126596,0.002205
0.025318,0.019837,0.011082,0.024553,0.011457,0.008539,0.027096,0.008898
0.030064,0.028854,0.000973,0.03586,0.00253,0.000963,0.038028,0.000558
0.011757,0.011085,0.00204,0.009813,0.00257,0.001437,0.011281,0.001112
0.001883,0.001785,0.008039,0.003556,0.005566,0.006775,0.004626,0.007283
0.000449,0.000422,0.014277,0.000898,0.01171,0.012051,0.001504,0.017576
0.017971,0.015309,0.00095,0.01729,0.001004,0.000708,0.018274,0.000761
0.401492,0.312418,0.006232,0.400029,0.009149,0.00202,0.597114,0.005405
0.034757,0.020228,0.066712,0.022923,0.124193,0.130282,0.030775,1.168308
0.011334,0.007505,0.016583,0.010597,0.008978,0.004795,0.012417,0.004051
0.000758,0.00054,0.000768,0.000704,0.001148,0.001235,0.000764,0.000534
0.00518,0.000712,0.001031,0.00798,0.002548,0.002215,0.001657,0.000854
0.101579,0.068798,0.059512,0.047104,0.041076,0.009419,0.072621,0.005818
0.006055,0.004119,0.005227,0.004674,0.003587,0.002172,0.00422,0.001703
0.00372,0.002339,0.000765,0.00486,0.000859,0.00082,0.004874,0.00061
0.116252,0.117837,0.037007,0.09021,0.07824,0.083045,0.184698,3.892552
0.023153,0.017996,0.010347,0.019113,0.014373,0.013848,0.007857,0.174438
0.006384,0.00231,0.004978,0.003277,0.008041,0.008234,0.003634,0.013826
0.003175,0.000778,0.013708,0.001334,0.014192,0.024833,0.002527,0.018254
0.042102,0.03272,0.040697,0.01689,0.017073,0.021463,0.018821,0.0532
0.038239,0.029713,0.036974,0.038974,0.023752,0.026291,0.026961,0.045209
0.009226,0.007401,0.036424,0.010662,0.071507,0.073889,0.010231,0.054627
0.024758,0.0215,0.002144,0.020971,0.003283,0.001948,0.033115,0.001083
0.099638,0.080307,0.004007,0.112368,0.00704,0.009695,0.125976,0.004346
