J3,J4,P2,P3,P4,S1,S2,S3,S4,T2,T3,T4,TI2,TI3,TI4,Tr1,Tr2
2470000,2002000,2551000,2691000,3858000,15881000,13983500,13174500,8827000,2733500,2390500,2005000,2415000,1163000,2556000,8674500,12438000
3376000,3308500,2894500,4402000,5514500,17918500,18806000,16380000,12595500,2902000,3080500,2286000,2879000,2147000,3871000,9654000,14666000
2912000,1714500,2417000,3098500,3621000,8914000,13348500,10797500,12652000,2763000,2569000,1577500,2793500,1730000,2747500,5825000,8217000
2357000,1695500,2318500,3368000,2910500,6509000,11021500,7152000,7012500,3045000,2253000,1637000,2821500,1305500,2195000,4581000,5969500
2370500,1538500,2903000,2817500,3196000,22032000,17329500,13952000,9364000,2397500,2014500,1385500,3411000,1060000,2108000,7364500,12367000
1613500,1295500,2702000,2701500,2404500,8653000,9969500,8868500,10698000,2808500,1560500,1801000,2388000,1171500,1592500,4448000,5086500
2994000,1957000,3857500,3700000,3917000,18954500,18315000,14054000,9550500,2740500,2212000,1389000,4086000,1246500,2514000,9086000,12026500
1352000,1002000,2235500,2447500,2245500,5131500,10298000,7288500,6164500,2038000,1447500,1197000,1896500,859000,1324500,2738500,3436000
