emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA,MillDB
0.0030540365,0.420062,0.195732,1.41597,0.109907,0.029137,0.000734,0.014278,0.009
0.00114556,0.192802,0.125876,1.85048,0.0345991,0.005266,0.00217,0.025558,0.01
0.001103582,0.065099,0.025811,0.0038178,0.032588,0.000113,0.058732,0.002941,0.006
0.00087305735,0.0172901,0.117994,0.576004,0.158865,0.002655,0.041765,0.000816,0.008
0.00042999635,0.0445878,0.0705519,0.127979,21.4805,0.026632,0.00295,0.001351,0.01
0.0339396,0.0159822,0.0733612,0.0258648,0.0506151,0.004028999,1.13139,0.01142,0.013
0.01241982,0.0254209,0.058594,0.109589,0.0447481,0.000333,0.001094,0.0003,0.009
0.016795099,0.0623391,0.0655851,0.422136,0.324784,0.000589,0.005005,0.007001,0.01
0.00448813,0.0847711,0.06513,1.50084,0.0744159,0.011772,0.014499,0.010793,0.012
0.00058195466,0.0661011,0.035738,0.078265,0.0283389,0.004024,0.001302,0.022115,0.018
0.00088037865,0.0496089,0.0356438,0.0992842,0.150083,0.002391,0.0212,0.00135,0.009
0.014988267,0.095211,0.18596,0.186365,0.18782,0.013644,0.058442,0.016007,0.022
0.0039011498,0.0400121,0.0354531,0.337316,0.0634291,0.002704,0.013505,0.007273,0.017
0.00445949,0.0721979,0.053874,0.120892,0.02356,0.00355,0.001873,0.023864,0.018
0.00040478632,0.0176091,0.0235279,0.00290394,0.0928221,0.002023,0.000658,0.006258,0.015
0.0129496725,0.00478292,0.0145679,0.00782299,0.0279782,0.038932,0.063313,0.001782,0.006
0.0012341933,0.162394,0.306705,0.37701,0.074244,0.00295,0.018234,0.006898,0.019
0.00045139034,0.064373,0.0379188,0.0733318,0.072078,0.000286,0.003208,0.006351,0.01
0.0007841133,0.0948842,0.049535,0.0414591,0.238359,0.000266,0.000697,0.021883,0.015
0.000505078,0.351581,0.088963,0.2083,0.0250731,0.088603,0.000147,0.026674,0.053
0.0012817801,0.16574,0.046169,1.14423,0.0389659,0.001951,0.004507,0.008761,0.019
0.00278141,0.166666,0.05636,0.0592251,0.0413921,0.007016,0.005448,0.017175,0.017
0.00044936768,0.00538492,0.035181,0.00360417,0.072881,0.001159,0.001869,0.003025,0.011
0.019689033,0.210285,0.075819,0.419481,0.0332651,0.012419,0.002292,0.030131,0.036
0.004550297,0.0931501,0.0626459,0.0174749,0.0902009,0.000384,0.079149,0.00234,0.005
0.0036874367,0.0490761,0.0421431,0.0276661,0.0409729,0.000952,0.249925,0.008055,0.011
0.0020976767,0.00949311,0.019989,0.00360084,0.0362079,0.006366,0.017064,0.004937,0.007
0.00072630134,0.027034,0.033941,0.0210321,0.202462,0.005762,0.00159,0.000754,0.006
0.000557715,0.110553,0.0437779,0.00571299,0.035943,0.01175,0.030747,0.016923,0.027
0.00059215166,0.140347,0.0526052,0.49079,0.0362358,0.000588,0.010137,0.01339,0.016
0.000918803,0.020026,0.025522,0.0308249,0.0658741,0.001903,0.001862,0.001321,0.006
0.000971378,0.00677609,0.0441499,0.181577,0.0380192,0.00043,0.009285,0.002999,0.006
0.00045798536,0.00696802,0.0282571,0.0765281,0.132709,0.000204,0.001128,0.000543,0.006
0.0006643193,0.085984,0.0697689,0.198509,0.0248511,0.021603,0.000495,0.037271,0.024
0.00239856,0.037425,0.0240431,0.076441,0.0319459,0.0012,0.012054,0.004171,0.01
0.00185044,0.0304339,0.0284152,0.057524,0.0482981,0.007972,0.057288,0.013603,0.021
0.00035268,0.0625908,0.0289919,0.0308809,0.247729,0.001694,0.000404,0.001419,0.007
0.016095232,0.031245,0.042639,0.244759,0.0540938,0.000506,0.004444,0.010049,0.006
0.001107645,0.019558,0.0784059,0.05269,0.067539,0.000313,0.013415,0.001314,0.006
0.00082600134,0.00629401,0.01879,0.00307202,0.058429,0.000156,0.001208,0.004423,0.007
0.00609309,0.0107441,0.030483,0.0288041,0.0247309,0.036281,0.816746,0.004879,0.01
0.0283533,0.0109661,0.0166829,0.00327992,0.081393,0.000395,0.503577,0.004232,0.009
0.00048992265,0.0570109,0.09391,0.00540185,0.629839,0.001971,0.007999,0.029284,0.022
0.00089170435,0.00586986,0.043375,0.164976,2.94651,0.001843,0.002834,0.000327,0.006
0.010807199,0.0177579,0.0391281,0.062705,0.0352881,0.000729,0.001388,0.001612,0.007
0.0017778099,0.019624,0.04865,0.028616,0.211281,0.000826,0.056515,0.002084,0.008
0.0012386433,0.118475,0.040611,0.058171,0.0688958,0.007312,0.005078,0.010237,0.018
0.0035792766,0.0286422,0.048173,0.00568914,0.24504,0.138425,0.24083,0.035531,0.019
0.000633955,0.0760489,0.0320618,0.055692,0.026304,0.020678,0.004281,0.112006,0.035
0.0015036167,0.010282,0.0311081,0.00346112,0.022095,0.001922,0.021885,0.002945,0.01
