emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag,RDFCSA
0.00080888136,0.0250928,0.05111,0.55156,0.650489,0.002794,0.000462,0.00744
0.00045577734,0.110899,0.0923991,0.526151,0.10097,0.001429,0.00045,0.005949
0.000326136,0.123857,0.103522,0.410339,0.0457511,0.000302,0.002147,0.00408
0.000892019,0.180594,1.71025,0.20897,9.11056,0.064295,0.000825,0.137826
0.00076990866,0.011167,0.0588331,0.0756109,0.0477059,0.000646,0.000497,0.002269
0.0062369932,0.0330081,0.0612051,0.145591,0.0527399,0.001093,0.001038,0.006044
0.0098066665,0.064441,0.121135,0.229512,0.111046,0.001221,0.001506,0.003331
0.00037670534,0.257837,0.077589,0.00937605,0.137898,0.003906,0.000686,0.020808
0.00046087333,0.0164778,0.0462668,0.131114,0.084913,0.005628,0.000174,0.015605
0.00129975,0.0215728,0.199975,0.0304389,0.0853701,0.004667,0.013536,0.011614
0.0010166153,0.0976241,0.0510452,0.214112,0.123856,0.005236,0.000235,0.021562
0.00079607364,0.014961,0.178098,0.00558209,0.0593119,0.003407,0.00168,0.013157
0.00035334032,0.0378389,0.045274,0.0503161,0.0533979,0.00069,0.000027,0.003169
0.00054532866,0.110484,0.014703,0.851979,0.045635,0.000587,0.000941,0.003227
0.001001837,0.134021,0.0222189,0.0674112,0.082221,0.006271,0.001067,0.010901
0.0020177034,0.0310252,0.0315619,0.0452731,0.0371461,0.003963,0.001301,0.007912
0.0009167957,0.256468,0.08288,0.237646,0.212249,0.008116,0.001616,0.027787
0.000406917,0.0761099,0.0519121,0.0204558,0.032866,0.001,0.003085,0.005615
0.00083079434,0.122515,0.081785,0.0110791,0.177699,0.006026,0.00038,0.018437
0.00709092,0.0107579,0.0324931,0.0353489,0.0357492,0.00061,0.066798,0.000953
0.0024875232,0.0472219,0.0353088,0.0431781,0.0289359,0.000671,0.000895,0.002562
0.0023322566,0.285556,0.0788751,0.00230694,0.036968,0.000242,0.002803,0.001279
0.00044046834,0.153698,0.106632,0.15637,0.0462091,0.000129,0.000681,0.000608
0.00306993,0.0187392,0.0114701,0.00239897,0.0359311,0.00393,0.000189,0.010334
0.0020476666,0.00788999,0.0688181,0.03513,0.0476322,0.000341,0.000909,0.003362
0.0063147,0.008708,0.012439,0.0481541,0.027452,0.000273,0.003593,0.001302
0.0014535816,0.00554299,2.54585,0.153522,0.0348451,0.000173,0.012005,0.000664
0.018377904,0.006078,0.050386,0.00380492,0.0622711,0.000107,0.001737,0.003023
0.018224567,0.025806,0.080991,0.00305891,0.0471439,0.018608,0.002029,0.03602
0.00222384,0.0404818,0.0172989,0.011647,0.0956681,0.017699,0.001116,0.043509
0.000712483,0.00949597,0.0285461,0.018997,0.0320461,0.000154,0.000354,0.000533
0.0007748467,0.037442,0.0300879,0.024765,0.046711,0.004097,0.002276,0.015159
0.00047062268,0.010427,0.015456,0.00357604,0.0282891,0.001414,0.000729,0.006249
0.00046571367,0.00546789,0.0264781,0.00541377,0.0624559,0.00056,0.000744,0.003064
0.000843006,0.00814605,0.0140669,0.00287795,0.0417509,0.001086,0.001239,0.006485
0.0054638903,0.0776339,0.0366552,0.114606,0.0853028,0.004241,0.022399,0.011443
0.0035368,0.026876,0.234069,0.0177169,0.081037,0.008082,0.000458,0.01838
0.00206263,0.0068059,0.018882,0.00233412,0.039649,0.00064,0.000102,0.002416
0.00031785766,0.00577497,0.0136001,0.0031991,0.0269821,0.003817,0.000801,0.006344
0.0028311734,0.0115631,0.0253801,0.00449896,0.0469909,0.004419,0.00216,0.011647
0.0061456403,0.00599599,0.0240121,0.00697088,0.092221,0.008535,0.003968,0.025844
0.008935057,0.012496,0.0145462,0.00835896,0.110923,0.001152,0.000076,0.006092
0.00161783,0.29066,0.100707,0.306107,1.34681,0.120068,0.003201,0.310872
0.00075611,0.00423312,0.0214322,0.0123301,0.0233719,0.000135,0.000411,0.00074
0.000373626,0.0052712,0.0101011,0.00563788,0.0649612,0.001843,0.000048,0.001807
0.00038382533,0.0151088,0.024729,0.006253,0.134221,0.022869,0.000175,0.055712
0.0038591467,0.187885,0.019582,0.025847,0.256483,0.083884,0.000839,0.13961
0.000527661,0.0631468,0.021987,0.00997615,0.0999758,0.001488,0.001049,0.011879
0.0005103557,0.0251849,0.0201771,0.00708294,0.0622971,0.008191,0.000525,0.021998
0.011697423,0.0342071,0.0261068,0.264878,0.075125,0.005923,0.000843,0.002546
