emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag
0.00054833567,0.289826,0.186279,2.0649,0.0416429,0.00028,0.002025
0.00077856,0.224551,0.219977,0.953264,0.0714648,0.002521,0.001899
0.000756277,0.11646,3.86713,1.4331,0.664744,0.008075,0.002238
0.014398733,0.144461,0.6826,0.551257,0.102561,0.017685,0.006186
0.0059508304,0.082818,0.25141,0.485108,0.089819,0.009921,0.000426
0.00622321,0.207233,0.134383,0.933587,0.036598,0.001579,0.000438
0.00038971633,0.162497,0.0784369,0.071645,0.046241,0.000509,0.000232
0.0005977357,0.201069,0.0711281,1.20799,0.0740781,0.000427,0.002062
0.000543724,0.089433,0.075567,0.180519,0.078196,0.010072,0.004984
0.00038139,0.026437,0.03548,0.108676,0.045157,0.000734,0.000593
0.0020290166,0.0249391,0.048347,0.0896201,0.052094,0.004453,0.002592
0.00583808,0.0299399,0.0835161,0.250277,0.0229931,0.000248,0.002118
0.0016552467,0.044615,0.220142,0.055793,0.0276601,0.001234,0.002801
0.00324748,0.427213,0.129342,0.19811,0.190728,0.058171,0.003221
0.00032029802,0.0268099,0.0606921,0.00628304,0.0260582,0.00072,0.001651
0.0021893566,0.110698,0.031307,0.088944,0.040978,0.000237,0.000179
0.011904161,0.181948,0.0444589,0.125441,0.682149,0.032272,0.000263
0.0023922634,0.0291672,0.0341449,0.04546,0.03159,0.000345,0.001524
0.009238756,0.142073,0.039732,0.138404,0.187737,0.004931,0.080629
0.041375335,0.03,0.0180659,0.00389409,0.0480669,0.000139,0.003815
0.0085233,0.00806999,0.030844,0.00458479,0.0281911,0.001218,0.004843
0.0036038565,0.183056,0.0262899,0.00382113,0.0469341,0.000775,0.031494
0.00038881134,0.270462,0.0260839,0.0106618,0.527797,0.095249,0.000305
0.000436249,0.0203581,0.131824,0.00942993,0.0476189,0.003856,0.000715
0.009792563,0.00594187,0.0519528,0.0422881,0.0981472,0.006136,0.000768
0.0018855167,0.0254641,0.0583601,0.00461888,0.0671389,0.001218,0.013737
0.0048405468,0.100704,0.014621,0.0046339,0.120886,0.038042,0.013278
0.00166332,0.0123289,0.0169611,0.00381803,0.05269,0.000176,0.000474
0.000849708,0.030983,0.0240941,0.005795,0.06323,0.016537,0.007132
0.00307642,0.0225909,0.0359721,0.00527215,0.067805,0.000468,0.003163
0.0010182457,0.0264959,0.0223048,0.00345898,0.0357552,0.002555,0.009665
0.00068811636,0.00452399,0.0247869,0.00412488,0.054852,0.000108,0.002099
0.0012874033,0.018003,0.0534401,0.00541091,0.160367,0.004284,0.001669
0.0042627533,0.04477,0.0612471,0.00998711,0.145898,0.006824,0.000708
0.000347392,0.005615,0.0270722,0.00242019,0.032964,0.000268,0.001621
0.0019032867,0.019882,0.0210309,0.0040791,0.038017,0.007031,0.004073
0.00045008134,0.0278311,0.690427,0.00668788,0.305679,0.012875,0.002161
0.0009399347,0.024415,0.0532389,0.107394,0.0522909,0.000363,0.00219
0.0025649734,0.0223,0.0260658,0.00390291,0.0479419,0.000888,0.003075
0.00049618597,0.00642014,0.0164099,0.00338507,0.0338328,0.000205,0.004016
0.0015901834,0.136029,0.156799,0.356131,0.111745,0.006388,0.00807
0.0008463903,0.0388629,0.027426,0.00647712,0.130244,0.007771,0.003791
0.000826423,0.00824785,0.0338302,0.003196,0.0311699,0.007341,0.002231
0.001211602,0.0719211,0.018893,0.050426,0.105594,0.008396,0.000265
0.0052627,0.0715311,0.0160549,0.014977,0.123514,0.034318,0.001132
0.000416696,0.0199049,0.023694,0.00390601,0.0380912,0.005198,0.0018
0.0049813935,0.00578213,0.0158889,0.00310588,0.023958,0.000282,0.00185
0.0007282867,0.0101089,0.0713601,0.185698,0.151279,0.012479,0.000338
0.009459567,0.0770278,0.0494988,0.019455,0.520902,0.11063,0.000103
0.0017716633,0.012799,0.0285869,0.00374293,0.246698,0.004452,0.008263
