emptyheaded,Jena-LTJ,RDF3X,virtuoso,blazegraph,CompactLTJ,qdag
0.006609423,0.120696,1.09669,3.98496,0.024282,0.001095,0.00777469
0.0012951266,0.047884,0.268807,0.272385,0.0229681,0.001092,0.00104499
0.00135506,0.080271,0.131185,0.477281,0.1903,0.000091,0.000993487
0.013646633,0.027442,0.24775,0.21089,0.022547,0.00012,0.00156062
0.006209873,0.0163829,0.0519509,1.34637,0.314905,0.000299,0.00476047
0.015946666,0.02233,0.11958,0.295531,0.037214,0.000202,0.00290253
0.028960599,0.0853219,0.080771,1.65129,0.166367,0.001061,0.00148681
0.5466883,0.0250909,0.102949,0.200104,0.0389011,0.000166,0.000230487
0.02484419,0.017158,0.0543759,1.31263,0.0453269,0.00016,0.000212918
0.0014576233,0.0398891,0.309484,0.734746,0.0848589,0.000674,0.0209743
0.00554557,0.0308859,0.296616,0.172497,0.046344,0.000045,0.0173561
0.00616538,0.0288498,0.318555,0.176841,0.768531,0.005048,0.00249473
0.49990767,0.04514,1.49111,0.090239,0.0262241,0.00058,0.0024226
0.0056217,0.039649,0.922062,0.0620341,0.0209858,0.000391,0.00306693
0.00134361,0.00858307,0.0437012,0.532858,0.0272439,0.000241,0.00873388
0.011887867,0.0259991,0.033433,0.181162,0.095541,0.001411,0.000223087
0.0011740667,0.0559111,0.095427,0.12715,0.0666199,0.00066,0.000663301
0.00317074,0.0137799,0.0925698,0.0438359,0.032289,0.000066,0.000241125
0.0011548767,0.00993991,0.031019,0.287283,0.167149,0.000215,0.00103262
0.0016677299,0.0305121,0.8492,0.0570571,0.0166171,0.001043,0.00129495
0.0022516733,0.0060401,0.103301,0.947758,0.0234451,0.000171,0.000815765
0.0022127032,0.0538659,0.476205,0.390328,0.0211091,0.002372,0.0115176
0.0012238533,0.0218961,0.728546,0.0515692,0.019737,0.000863,0.000293114
0.00194349,0.0110822,0.0241361,0.00339794,0.0482159,0.000087,0.131759
0.005169647,0.0279069,1.43277,0.042697,0.013552,0.001221,0.00154235
0.011412533,0.018296,0.0733769,0.114629,0.0291879,0.000302,0.000939327
0.50355566,0.03598,0.856867,0.0731819,0.022984,0.000399,0.00214685
0.013087557,0.0110619,0.029556,0.0315421,0.023874,0.000075,0.00279855
0.0016966667,0.00530386,0.020267,0.132466,0.0336521,0.000137,0.00269235
0.00877185,0.0259509,0.0258729,0.0437882,0.0126071,0.000164,0.00389206
0.00258803,0.00586605,0.014358,0.0277989,0.0416369,0.000041,0.00109965
0.0016034034,0.0326068,0.383449,0.184776,0.0170002,0.002573,0.000194315
0.0017963899,0.0356789,0.145623,0.0543921,0.017699,0.000193,0.00107638
0.26358667,0.0360391,0.690239,0.383273,0.035044,0.000876,0.00324023
0.007942343,0.026576,0.0245218,0.0778382,0.035387,0.000147,0.000845506
0.0039489134,0.0123119,0.0226569,0.049052,0.0230091,0.00028,0.0101793
0.0010133067,0.00699401,0.0296209,0.0224769,0.023257,0.000096,0.00169552
0.0012365733,0.00550508,0.031698,0.0162971,0.0244491,0.000146,0.00263373
0.0011265234,0.0493009,0.017606,0.0524611,0.043591,0.00005,0.000714028
0.034961034,0.0260711,0.217208,0.0644131,0.0150881,0.001111,0.00109439
0.008388736,0.00653815,0.0109279,0.0187712,0.031981,0.000033,0.00142614
0.0056773433,0.0185609,0.027827,0.285794,0.0774748,0.00007,0.00263726
0.00142053,0.0114391,0.017487,0.026751,0.0244339,0.000146,0.000357225
0.49986202,0.00523782,0.0254171,0.019376,0.0285602,0.000043,0.000336368
0.00185425,0.00563216,0.00959301,0.00824785,0.0246499,0.000062,0.000226075
0.0068044635,0.022815,0.027133,0.0439382,0.0184181,0.000414,0.000686446
0.0025500234,0.00617599,0.0641599,0.0123339,0.0218601,0.000284,0.00099749
0.012435913,0.00419593,0.00707102,0.076396,0.112432,0.000034,0.0357713
,0.00458598,0.0404589,0.0614839,0.024226,0.000365,0.00123976
,0.00953603,0.014251,0.023773,0.0332599,0.000066,0.00208453
